voyage_id,vessel_type,dwt,n_ports,nz_dest_port,p_invasion,p_alien_per_port,p_intro_per_port,p_estab_per_port,pr_inv_per_port
3524,General Cargo,40527.0,5,TAURANGA,0.0003243155,"[1.0, 1.0, 0.999995, 1.0]","[0.45584427, 0.53423101, 0.70607084, 0.84016377]","[0.00011553, 0.00011553, 0.00013088, 0.00013992]","[5.26644e-05, 6.17205e-05, 9.24092e-05, 0.0001175596]"
3526,Bulker,36903.0,6,TAURANGA,0.0002705928,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.12934003, 0.2875493, 0.46268624, 0.5972154, 0.69185676]","[0.00011661, 0.0001448, 0.0001448, 0.0001448, 8.735e-05]","[1.50819e-05, 4.16366e-05, 6.69961e-05, 8.64757e-05, 6.04303e-05]"
3533,General Cargo,10049.0,5,TAURANGA,0.0001797156,"[1.0, 1.0, 1.0, 1.0]","[0.18796882, 0.31732582, 0.38549775, 0.63486818]","[0.00012123, 0.00011482, 0.00012209, 0.00011567]","[2.27873e-05, 3.64352e-05, 4.70663e-05, 7.34382e-05]"
3564,RoRo,18529.0,7,AUCKLAND,0.0003854452,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999998]","[0.24691982, 0.32106771, 0.40146746, 0.53453573, 0.67556776, 0.83230133]","[0.00011063, 0.00011063, 0.00011063, 0.00013992, 0.00013992, 0.00013088]","[2.73167e-05, 3.55197e-05, 4.44143e-05, 7.47947e-05, 9.45285e-05, 0.0001089303]"
3566,RoRo,18481.0,7,AUCKLAND,0.0003173407,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999965]","[0.17499165, 0.23322645, 0.30363847, 0.4281095, 0.51258812, 0.80028158]","[0.00011063, 0.00011063, 0.00011063, 0.00013992, 0.00013992, 0.00013371]","[1.93593e-05, 2.58018e-05, 3.35915e-05, 5.9903e-05, 7.17237e-05, 0.0001070005]"
3569,RoRo,18334.0,7,AUCKLAND,0.0004329513,"[1.0, 1.0, 1.0, 0.999998, 0.999913, 0.999965]","[0.27634031, 0.34738693, 0.46538084, 0.56613666, 0.69114986, 0.85364164]","[0.00013992, 0.00013992, 0.00013992, 0.00013088, 0.00013371, 0.00013371]","[3.86668e-05, 4.8608e-05, 6.51182e-05, 7.40951e-05, 9.24044e-05, 0.000114135]"
3570,RoRo,18334.0,7,AUCKLAND,0.0003790107,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.22659528, 0.27568672, 0.43424378, 0.52513392, 0.69093535, 0.84340995]","[0.00012123, 0.00011161, 0.00011063, 0.00011063, 0.00013992, 0.00013992]","[2.747e-05, 3.07686e-05, 4.80404e-05, 5.80956e-05, 9.66788e-05, 0.0001180138]"
3576,RoRo,15154.0,7,AUCKLAND,0.0003433082,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.18221205, 0.28624499, 0.38026542, 0.5347255, 0.6170727, 0.70299018]","[9.871e-05, 0.00013992, 0.0001067, 0.00013195, 0.00013195, 0.00013195]","[1.79862e-05, 4.00527e-05, 4.05731e-05, 7.05582e-05, 8.1424e-05, 9.2761e-05]"
3578,RoRo,15154.0,7,AUCKLAND,0.0003342661,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.20927843, 0.26381389, 0.32711956, 0.52224357, 0.60199777, 0.70052818]","[0.00011688, 0.00011688, 0.00011688, 0.00013195, 0.00013195, 0.00013195]","[2.44604e-05, 3.08345e-05, 3.82336e-05, 6.89111e-05, 7.94349e-05, 9.24362e-05]"
3584,Bulker,32613.0,6,WELLINGTON,0.0002198676,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.092827, 0.25193263, 0.46130054, 0.57226167, 0.73477453]","[0.00010536, 0.00010536, 0.00012132, 0.00012132, 7.916e-05]","[9.7807e-06, 2.65448e-05, 5.59671e-05, 6.94295e-05, 5.81636e-05]"
3590,General Cargo,38173.0,5,TAURANGA,0.0003386268,"[1.0, 1.0, 1.0, 1.0]","[0.52218443, 0.66140453, 0.68551769, 0.69750357]","[0.00013195, 0.00013195, 0.00013195, 0.00013195]","[6.89033e-05, 8.72737e-05, 9.04555e-05, 9.20371e-05]"
3591,General Cargo,38173.0,5,NAPIER,0.0002504103,"[1.0, 1.0, 1.0, 1.0]","[0.51112415, 0.57052241, 0.64056595, 0.65461632]","[0.00010536, 0.00010536, 0.00010536, 0.00010536]","[5.38544e-05, 6.01129e-05, 6.7493e-05, 6.89734e-05]"
3592,General Cargo,38191.0,6,AUCKLAND,0.000347323,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.26263521, 0.32029885, 0.3861809, 0.72870671, 0.83993575]","[0.00013195, 0.00013195, 0.00013195, 0.00013992, 0.00013992]","[3.46553e-05, 4.22641e-05, 5.09574e-05, 0.000101964, 0.0001175276]"
