imo,vessel_name,vessel_type_nbic,gt_proxy,nbic_type_group,gt_size_tier,in_list_a,sample_bw_mt,sample_arrival_date
9623219.0,Sun Rise,General Cargo,22499.0,General Cargo,Medium,False,7804,2024-10-05
9426881.0,UBC Salaverry,General Cargo,21018.0,General Cargo,Medium,False,12395,2024-12-12
9437335.0,Ocean Giant,General Cargo,15549.0,General Cargo,Medium,False,215,2024-09-19
9317690.0,PROPEL PROSPERITY,General Cargo,22698.0,General Cargo,Medium,False,9719,2024-01-18
9343625.0,BAM PROTEUS,General Cargo,20236.0,General Cargo,Medium,False,1876,2024-10-20
9546473.0,Tiberborg,General Cargo,14695.0,General Cargo,Medium,False,150,2024-07-06
9764013.0,STEEL MAGIC,General Cargo,22303.0,General Cargo,Medium,False,14657,2024-12-11
9197947.0,Slotergracht,General Cargo,16641.0,General Cargo,Medium,False,300,2024-09-25
9652519.0,UBC SALERNO,General Cargo,20992.0,General Cargo,Medium,False,12134,2024-11-13
9744764.0,Tiziana,General Cargo,22457.0,General Cargo,Medium,False,12307,2024-04-10
9803417.0,Weco Karoline,General Cargo,23713.0,General Cargo,Large,False,12171,2024-04-17
9007544.0,Quetzal Arrow,General Cargo,29369.0,General Cargo,Large,False,704,2024-12-03
9450155.0,Penghu Sw,General Cargo,22852.0,General Cargo,Large,False,11664,2024-08-28
9687203.0,Global Splendour,General Cargo,31926.0,General Cargo,Large,False,1276,2024-05-23
9852717.0,African Warbler,General Cargo,23194.0,General Cargo,Large,True,12284,2024-11-21
9866639.0,OCEAN FLORA,General Cargo,23232.0,General Cargo,Large,True,12674,2024-08-19
9416721.0,UBC Tilbury,General Cargo,24140.0,General Cargo,Large,False,11075,2024-05-22
9310513.0,Star Java,General Cargo,32679.0,General Cargo,Large,True,577,2024-06-09
9452919.0,Nikkei Sirius,General Cargo,29829.0,General Cargo,Large,False,1073,2024-08-16
9877339.0,Blue Sapphire,General Cargo,23703.0,General Cargo,Large,False,14276,2024-11-16
9659189.0,DEVBULK GULTEN,General Cargo,23749.0,General Cargo,Large,False,15106,2024-02-09
9491680.0,TAN BINH 345,General Cargo,22863.0,General Cargo,Large,False,12942,2024-09-04
9658953.0,Saga Fantasy,General Cargo,37441.0,General Cargo,Large,False,1545,2024-03-20
9274379.0,GAS ROSEA,Tanker,5945.0,Tanker,Small,False,357,2024-07-04
9800104.0,Nordic Ace,Tanker,9418.0,Tanker,Small,False,4279,2024-12-27
9381641.0,B. Ace,Tanker,3978.0,Tanker,Small,False,1907,2024-12-06
9788435.0,High Adventurer,Tanker,29513.0,Tanker,Small,False,17304,2024-12-09
9799678.0,Gallop,Tanker,22988.0,Tanker,Small,False,12732,2024-12-02
9744946.0,Earth Summit,Tanker,17235.0,Tanker,Small,False,5810,2024-12-05
9468530.0,MARLIN PEARL,Tanker,5539.0,Tanker,Small,False,1725,2024-07-18
9340350.0,OWL 6,Tanker,8539.0,Tanker,Small,False,4163,2024-11-05
9702194.0,TORM DANICA,Tanker,29485.0,Tanker,Small,False,17238,2024-11-17
9749362.0,Willard J,Tanker,17858.0,Tanker,Small,False,9799,2024-12-18
9124469.0,Stolt Achievement,Tanker,25196.0,Tanker,Small,False,100,2024-05-13
9753698.0,HAFNIA TOURMALINE,Tanker,29492.0,Tanker,Small,False,17546,2024-12-05
9789726.0,MANTA BEYOGLU,Tanker,25086.0,Tanker,Small,False,5416,2024-12-13
9654787.0,Ardmore Engineer,Tanker,30069.0,Tanker,Medium,False,17063,2024-12-01
9680085.0,Stolt Sincerity,Tanker,29903.0,Tanker,Medium,False,904,2024-08-25
9703019.0,BW Leo,Tanker,47922.0,Tanker,Medium,False,17393,2024-12-04
9950583.0,ENEOS GUNJO,Tanker,49541.0,Tanker,Medium,False,18482,2024-11-24
9795672.0,Laurel Prime,Tanker,47961.0,Tanker,Medium,False,16562,2024-09-17
9396775.0,PACIFIC PRIDE,Tanker,30056.0,Tanker,Medium,False,19988,2024-01-18
9897559.0,FLANDERS PIONEER,Tanker,50468.0,Tanker,Medium,False,19770,2024-12-07
9723681.0,Sumire Gas,Tanker,46796.0,Tanker,Medium,False,19394,2024-08-10
9797876.0,G. Spirit,Tanker,47558.0,Tanker,Medium,False,15639,2024-11-19
9390599.0,Jag Lokesh,Tanker,57510.0,Tanker,Medium,False,3159,2024-08-30
9709984.0,Jag Punit,Tanker,29967.0,Tanker,Medium,False,16873,2024-12-23
9937062.0,PERTAMINA GAS CASPIA,Tanker,53573.0,Tanker,Medium,False,20723,2024-12-03
9799381.0,INEOS DOLPHIN,Tanker,59229.0,Tanker,Medium,False,10353,2024-10-25
9834466.0,Singapore Voyager,Tanker,163214.0,Tanker,Large,False,72948,2024-06-26
9896933.0,BW CASSIA,Tanker,115373.0,Tanker,Large,False,43946,2024-12-24
9315159.0,ARAM,Tanker,161473.0,Tanker,Large,False,91176,2024-11-24
9926714.0,NANTES KNUTSEN,Tanker,114180.0,Tanker,Large,False,23134,2024-11-27
9654701.0,KOOL KELVIN,Tanker,105832.0,Tanker,Large,False,47791,2024-11-19
9436446.0,Nordic Light,Tanker,81493.0,Tanker,Large,False,43151,2024-11-24
9892298.0,ASTERIX I,Tanker,116581.0,Tanker,Large,False,48926,2024-07-11
9937945.0,PUTERI SAADONG,Tanker,110331.0,Tanker,Large,False,46313,2024-10-19
9640023.0,Cool Explorer,Tanker,102097.0,Tanker,Large,False,49354,2024-11-05
9854624.0,Energy Endeavour,Tanker,114195.0,Tanker,Large,False,44914,2024-12-08
9731169.0,Olympic Lady,Tanker,154895.0,Tanker,Large,False,84030,2024-05-09
9872999.0,Hellas Athina,Tanker,116284.0,Tanker,Large,False,38091,2024-11-23
9948736.0,CELSIUS GRANADA,Tanker,119063.0,Tanker,Large,False,42269,2024-12-01
9188829.0,Modern Link,RoRo,33831.0,RoRo,Small,False,100,2024-02-26
9318515.0,Morning Menad,RoRo,41192.0,RoRo,Small,False,480,2024-12-05
9131955.0,MINCHAH,RoRo,11591.0,RoRo,Small,False,100,2024-08-01
7523673.0,Tropic Night,RoRo,1561.0,RoRo,Small,False,66,2024-12-14
9234068.0,Hurst Point,RoRo,23235.0,RoRo,Small,False,300,2024-02-05
9234082.0,NEW AMSTERDAM,RoRo,23235.0,RoRo,Small,False,2687,2024-12-02
9491886.0,VIKING PASSERO,RoRo,47053.0,RoRo,Medium,False,300,2024-01-11
9578957.0,LIBERTY POWER,RoRo,50110.0,RoRo,Medium,False,175,2024-10-28
9427952.0,Pagna,RoRo,47057.0,RoRo,Medium,False,100,2024-02-15
9252216.0,Heroic Ace,RoRo,56439.0,RoRo,Medium,False,49,2024-10-29
9619684.0,Marjorie C,RoRo,47279.0,RoRo,Medium,False,1362,2024-01-02
9153783.0,SILVER SOUL,RoRo,44219.0,RoRo,Medium,False,422,2024-09-30
9724738.0,Grande Luanda,RoRo,71543.0,RoRo,Large,False,1425,2024-02-20
9316141.0,Arc Resolve,RoRo,61260.0,RoRo,Large,False,85,2024-11-13
9446013.0,Morning Lily,RoRo,70853.0,RoRo,Large,True,1288,2024-08-22
9672105.0,Grande Cotonou,RoRo,71543.0,RoRo,Large,True,750,2024-11-25
9303546.0,Alliance Fairfax,RoRo,59705.0,RoRo,Large,False,93,2024-02-08
9209506.0,Triumph Ace,RoRo,56545.0,RoRo,Large,True,50,2024-10-14
8912132.0,Green Honduras,Reefer,7743.0,Reefer,Small,False,481,2024-03-14
9043055.0,Green Maveric,Reefer,5103.0,Reefer,Small,False,213,2024-03-02
8912120.0,Green Costa Rica,Reefer,7743.0,Reefer,Small,False,555,2024-08-11
8912144.0,Green Guatemala,Reefer,7743.0,Reefer,Small,False,588,2024-03-13
8917572.0,Peruvian Reefer,Reefer,7944.0,Reefer,Medium,False,582,2024-12-12
9063653.0,FRIO ANTARCTIC,Reefer,9438.0,Reefer,Medium,False,5,2024-09-30
8917584.0,Wellington Star,Reefer,7944.0,Reefer,Medium,False,940,2024-05-11
9181144.0,Baltic Heather,Reefer,9859.0,Reefer,Large,False,267,2024-08-26
9172959.0,COOL ROYAL,Reefer,11382.0,Reefer,Large,True,67,2024-03-27
9167801.0,COOL MAGNUS,Reefer,11382.0,Reefer,Large,False,136,2024-12-25
9055709.0,Fegulus,Reefer,10374.0,Reefer,Large,False,852,2024-04-08
9845910.0,VIKING NEPTUNE,Passenger,47878.0,Passenger,Small,False,66,2024-12-30
9224726.0,Carnival Legend,Passenger,85942.0,Passenger,Small,False,262,2024-12-29
9120877.0,Carnival Paradise,Passenger,71925.0,Passenger,Small,False,252,2024-12-28
9070058.0,Carnival Sunshine,Passenger,103881.0,Passenger,Medium,False,322,2024-12-30
9333149.0,Carnival Freedom,Passenger,110556.0,Passenger,Medium,False,644,2024-12-30
9236389.0,Carnival Valor,Passenger,110438.0,Passenger,Medium,False,574,2024-12-28
9383948.0,Allure Of The Seas,Passenger,226637.0,Passenger,Large,False,87,2024-06-24
9851737.0,CARNIVAL JUBILEE,Passenger,182015.0,Passenger,Large,False,146,2024-05-18
9227508.0,Navigator Of The Seas,Passenger,139999.0,Passenger,Large,False,490,2024-12-16
9692545.0,Andromeda,Other,5937.0,Other,Small,False,26,2024-11-09
9669213.0,OCEAN MARLIN,Other,2298.0,Other,Small,False,106,2024-08-04
9560534.0,Mary Ann Moran,Other,689.0,Other,Small,False,48,2024-12-18
9346029.0,Yacht Express,Other,17951.0,Other,Medium,False,703,2024-12-16
9242376.0,Durable,Other,12184.0,Other,Medium,False,986,2024-03-18
9745615.0,Island Victory,Other,11387.0,Other,Medium,False,709,2024-12-23
9358826.0,Seven Oceans,Other,18201.0,Other,Large,False,470,2024-11-10
9910313.0,EMPIRE STATE,Other,25985.0,Other,Large,False,128,2024-08-05
9481154.0,Deep Energy,Other,25378.0,Other,Large,False,228,2024-11-23
