imo,mmsi,vessel_name,vessel_type_raw,nbic_type_group,n_voyages
9336799,477999700,MOUNT RAINIER,Bulk Carrier,Bulker,4
9338541,477969800,LONGVIEW LOGGER,Bulk Carrier,Bulker,1
9338577,371050000,TAOKAS WISDOM,Bulk Carrier,Bulker,1
9338589,538006870,LADY LAURA,Bulk Carrier,Bulker,1
9338620,431839000,SWALLOW ACE,Vehicle Carrier,RoRo,1
9338826,309369000,SWAN ACE,Vehicle Carrier,RoRo,2
9338838,311004900,SWIFT ACE,Vehicle Carrier,RoRo,1
9338840,311013600,SUNRISE ACE,Vehicle Carrier,RoRo,2
9338852,311015100,SUNSHINE ACE,Vehicle Carrier,RoRo,1
9338864,354423000,SUNLIGHT ACE,Vehicle Carrier,RoRo,2
9340570,372613000,GRAND CHAMPION,Ro-Ro Cargo,RoRo,1
9341110,249014000,DELOS WAVE,Container Ship,Container,1
9341122,636021400,MSC ALDI III,Container Ship,Container,1
9342205,258981000,HOEGH LONDON,Vehicle Carrier,RoRo,1
9342695,255806116,AS CALIFORNIA,Container Ship,Container,8
9344045,431178000,WORLD SWAN II,Wood-Chip Carrier,Bulker,1
9344057,431495000,CHUETSU SPIRIT,Wood-Chip Carrier,Bulker,2
9344071,355702000,SOUTHERN STAR,Wood-Chip Carrier,Bulker,1
9344083,431261000,FLORA PIONEER,Wood-Chip Carrier,Bulker,2
9344136,477936300,CSC PROGRESS,Tanker,Tanker,1
9344148,477985100,CSC PEACE,Tanker,Tanker,2
9344150,477985200,CSC FRIENDSHIP,Tanker,Tanker,1
9344954,563122100,MAERSK VALENCIA,Container Ship,Container,1
9345996,636093250,A-REX DEXTERITY,Container Ship,Container,3
9347281,255805847,ESL WINNER,Container Ship,Container,1
9348089,563050200,MAERSK RIO BLANCO,Container Ship,Container,3
9348091,563050300,MAERSK RIO BRAVO,Container Ship,Container,6
9348106,563051600,MAERSK RIO ALFA,Container Ship,Container,5
9348156,566781000,MAERSK INVERNESS,Container Ship,Container,7
9348170,566779000,MAERSK INNOSHIMA,Container Ship,Container,4
9348467,636091385,NORTHERN GUILD,Container Ship,Container,12
9348493,372818000,GAUJA,Cargo,General Cargo,1
9348687,636020257,SEATTLE EZCMX#[)3X,Container Ship,Container,9
9349801,636091473,MATSON WAIKIKI,Container Ship,Container,5
9351036,565944000,KOTA LAMBANG,Container Ship,Container,7
9352004,477891700,MAERSK STEPNICA,Container Ship,Container,1
9352016,219229000,MAERSK SALALAH,Container Ship,Container,2
9352028,219231000,MAERSK SAVANNAH,Container Ship,Container,2
9352030,477770300,MAERSK SALINA,Container Ship,Container,2
9354533,563060800,CAPITAINE TASMAN,Container Ship,Container,18
9355032,357993000,LADY ROSE,Reefer,Reefer,1
9355044,357919000,LADY ROSEHIP,Reefer,Reefer,3
9355185,636015949,PRIMROSE ACE,Vehicle Carrier,RoRo,2
9355197,636016420,WISTERIA ACE,Cargo,General Cargo,1
9355288,477178900,MAERSK BINTAN,Container Ship,Container,1
9355355,477211100,MAERSK BAYETE,Container Ship,Container,9
9357949,563052100,MONTE TAMARO,Container Ship,Container,1
9357951,563052200,MAERSK RIO DELTA,Container Ship,Container,4
9357963,563052900,MAERSK RIO INDIA,Container Ship,Container,7
9357975,563052300,MAERSK RIO NEGRO,Container Ship,Container,5
9358022,636021429,PACIFIC ENDEAVOUR,General Cargo,General Cargo,3
9360271,255799000,MSC CAPE III,Container Ship,Container,6
9360324,477163800,SEAWAYS TITAN,Tanker,Tanker,1
9360752,232013516,SPIRIT OF AUCKLAND,Container Ship,Container,10
9361809,308808000,LAPIS ARROW,Vehicle Carrier,RoRo,1
9362308,563677000,KOTA NALURI,Container Ship,Container,1
9362396,232013524,SPIRIT OF SINGAPORE,Container Ship,Container,5
9362401,563148200,MAERSK WILLEMSTADT,Container Ship,Container,10
9362413,232013521,SPIRIT OF MELBOURNE,Container Ship,Container,11
9363948,353332000,LAVENDER ACE,Vehicle Carrier,RoRo,1
9363950,636017062,CLOVER ACE,Cargo,General Cargo,1
9367621,477829600,PORT ANGELES,Bulk Carrier,Bulker,2
9367839,229914000,CMA CGM QUELIMANE,Container Ship,Container,1
9369095,305315000,BBC CHALLENGER,General Cargo,General Cargo,1
9370824,370768000,SENDAI SPIRIT,Wood-Chip Carrier,Bulker,3
9372315,372610000,LUNA SPIRIT,Vehicle Carrier,RoRo,3
9372327,372945000,ANDROMEDA SPIRIT,Vehicle Carrier,RoRo,3
9374571,636018729,MSC EXPRESS III,Container Ship,Container,3
9377509,266283000,OBERON,Vehicle Carrier,RoRo,1
9377511,259805000,TIJUCA,Vehicle Carrier,RoRo,2
9377523,259895000,TIRRANNA,Vehicle Carrier,RoRo,2
9377975,477071800,PORT PHILLIP,General Cargo,General Cargo,1
9377987,477114300,DIAMOND HARBOUR,General Cargo,General Cargo,1
9377999,477143900,SANTIAGO BASIN,General Cargo,General Cargo,2
9379777,413372000,CHANG HANG HONG TU,Tanker,Tanker,1
9379789,413373000,CHANG HANG FENG CAI,Tanker,Tanker,1
9379935,477197600,MAIPO RIVER,General Cargo,General Cargo,3
9383223,636020500,MSC LIDIA,Container Ship,Container,5
9383417,370967000,MORNING LISA,Vehicle Carrier,RoRo,2
9383431,372802000,MORNING LUCY,Vehicle Carrier,RoRo,1
9384318,305066000,PIA,General Cargo,General Cargo,1
9384851,477768700,TAIHUA STAR,Bulk Carrier,Bulker,2
9386471,636014059,KASSIAKOS,Container Ship,Container,1
9386988,305293000,PETKUM,General Cargo,General Cargo,3
9387700,257376000,FAUSKANGER,Tanker,Tanker,1
9389409,229054000,CMA CGM DUTCH HARBOR,Container Ship,Container,10
9391660,563148300,MAERSK WELLINGTON,Container Ship,Container,9
9391672,232013525,SPIRIT OF SYDNEY,Container Ship,Container,6
9392157,370295000,GLOBAL MERMAID,Cargo,General Cargo,1
9392925,565971000,MAERSK BUTON,Container Ship,Container,3
9393498,636020806,MICRONESIAN OCEAN,General Cargo,General Cargo,3
9394870,563102000,MAERSK BALI,Container Ship,Container,3
9394882,563514000,MAERSK BOGOR,Container Ship,Container,8
9394894,563508000,MAERSK BRATAN,Container Ship,Container,1
9395604,209135000,CONTSHIP WIN,Container Ship,Container,1
9396127,257310000,STAR KIRKENES,Container Ship,Container,2
9396141,257457000,STAR KINN,Cargo,General Cargo,1
9397999,352980797,AMETHYST ACE,Cargo,General Cargo,1
9399868,440285000,ORIENTAL DIAMOND,Tanker,Tanker,1
9399870,440322000,ORIENTAL GOLD,Tanker,Tanker,1
9400215,636020345,NEOKASTRO,Cargo - Hazard C,General Cargo,1
9401166,255806485,MSC SAGITTA III,Container Ship,Container,6
9402639,477629400,MAERSK NINGBO,Container Ship,Container,1
9403138,636021245,VIRONO PRIDE,Bulk Carrier,Bulker,1
9403152,248289000,AGP KARTINI III,Bulk Carrier,Bulker,2
9403281,636022841,BERGAMOT ACE,Vehicle Carrier,RoRo,2
9404613,636014030,SOFRANA TOURVILLE,Cargo - Hazard D,General Cargo,14
9405033,636091527,NORTHERN DIAMOND,Container Ship,Container,1
9406374,477058500,CSC AUSPICIOUS,Tanker,Tanker,1
9407081,370122000,GOLDEN YOSA,Tanker,Tanker,1
9407885,636020983,GSL KITHIRA,Container Ship,Container,12
9408372,229660000,SOFRANA SURVILLE,Container Ship,Container,15
9410301,563168600,CAPITAINE TUPAIA,Container Ship,Container,21
9412749,351698000,LADY ROSEBUD,Reefer,Reefer,2
9412751,370095000,LADY ROSEBAY,Reefer,Reefer,2
9418315,477815400,COSCO JINGGANGSHAN,Bulk Carrier,Bulker,1
9419668,563145100,CAPITAINE BARET,Container Ship,Container,1
9420045,257366000,HOEGH ST.PETERSBURG,Vehicle Carrier,RoRo,1
9420057,257368000,HOEGH COPENHAGEN,Vehicle Carrier,RoRo,3
9420796,244149000,DANZIGERGRACHT,General Cargo,General Cargo,1
9420813,244142000,DIAMANTGRACHT,General Cargo,General Cargo,1
9420825,245033000,DOLFIJNGRACHT,General Cargo,General Cargo,1
9420837,244848000,DONAUGRACHT,Cargo,General Cargo,1
9422225,566932000,WORLD NAVIGATOR,Tanker,Tanker,3
9422809,636022686,ANGELIC ANNA,Bulk Carrier,Bulker,7
9423633,255805550,PACIFIC HUMILITY,General Cargo,General Cargo,1
9424091,538008601,NIMBLE NICKY,Bulk Carrier,Bulker,1
9424106,374170000,KEN HOPE,Bulk Carrier,Bulker,2
9425162,255805863,PACIFIC HONOUR,General Cargo,General Cargo,1
9425198,636019428,CHIPOL XIONGAN,General Cargo,General Cargo,3
9426386,372158000,MARGUERITE ACE,Vehicle Carrier,RoRo,2
9426740,538003846,DUBAI SUN,Bulk Carrier,Bulker,1
9427122,351240000,PAIWAN WISDOM,Bulk Carrier,Bulker,3
9427562,538010383,SPRING WIND,Vehicle Carrier,RoRo,1
9427926,236111886,PAGANELLA,Vehicle Carrier,RoRo,13
9427940,538010369,VIKING PAGLIA,Vehicle Carrier,RoRo,10
9430399,219068000,SANTA BARBARA,Container Ship,Container,1
9431460,565227000,PACIFICA,General Cargo,General Cargo,1
9431472,566204000,POTENTIA,General Cargo,General Cargo,1
9431719,636020648,ZIM IBERIA,Cargo,General Cargo,1
9431812,636091765,JACK LONDON,Container Ship,Container,5
9431824,636091766,JONATHAN SWIFT,Container Ship,Container,5
9432529,477010800,OLYMPIA LOGGER,Bulk Carrier,Bulker,1
9432969,563206500,STOLT SAKURA,Tanker - Hazard B,Tanker,2
9433808,371294000,SUNSHINE EXPRESS,Tanker,Tanker,2
9433846,636015142,FPMC 26,Tanker,Tanker,2
9435026,305172000,COE LUISA,General Cargo,General Cargo,1
9435105,305161000,ERIK,Cargo,General Cargo,1
9435258,636091629,HANSA REGENSBURG,Container Ship,Container,1
9435595,413179000,HAI TUN ZUO,Tanker,Tanker,1
9435674,565787000,LOUISA SCHULTE,Container Ship,Container,5
9436082,636018768,HANSA HOMBURG,Container Ship,Container,1
9436472,255802470,MSC ZONDA III,Container Ship,Container,7
9437062,636020985,GSL SYROS,Container Ship,Container,10
9438482,566028000,CS SERVICE,Cargo,General Cargo,1
9438509,566041000,CS STANDARD,Reefer,Reefer,1
9438511,566049000,CS TRUST,Reefer,Reefer,5
9439735,636020781,MSC LANGSAR,Container Ship,Container,6
9439761,477302600,KOTA LUMBA,Container Ship,Container,8
9440772,229606000,ANL WARRNAMBOOL,Container Ship,Container,9
9442172,636093069,BF GIANT,Container Ship,Container,4
9443152,219242000,TORM NEW ZEALAND,Tanker,Tanker,1
9443396,352001669,LOYALTY HONG,Bulk Carrier,Bulker,1
9443669,244010871,HEEMSKERKGRACHT,General Cargo,General Cargo,1
9444730,219072000,SANTA CATARINA,Container Ship,Container,1
9444924,477049800,MOUNT OWEN,Bulk Carrier,Bulker,3
9445576,636018807,DEBUSSY,Container Ship,Container,9
9445588,636018904,NAVIOS MIAMI,Container Ship,Container,17
9446013,372627000,MORNING LILY,Vehicle Carrier,RoRo,1
9446477,533170514,MALAYSIA BRAVE,Vehicle Carrier,RoRo,1
9449508,441069000,PAN EDELWEISS,Bulk Carrier,Bulker,2
9449510,372457000,PAN GLORIS,Cargo,General Cargo,1
9449522,354920000,PAN HARMONY,Bulk Carrier,Bulker,3
9450571,538008755,SYNERGY BUSAN,Container Ship,Container,4
9450595,209795000,SYNERGY KEELUNG,Container Ship,Container,3
9450911,414693000,REN JIAN 16,Container Ship,Container,3
9455923,538009655,CLIPPER DEE,Bulk Carrier,Bulker,1
9459436,538090583,HANSA AUSTRALIA,Container Ship,Container,2
9460887,564254000,MORNING CLARA,Cargo,General Cargo,1
9463542,563143200,CAPITAINE KUPE,General Cargo,General Cargo,2
9464039,566699000,CHINTANA NAREE,Bulk Carrier,Bulker,2
9465162,636017982,OCEAN DIAMOND,Bulk Carrier,Bulker,1
9470791,354950000,AC SESODA,Bulk Carrier,Bulker,1
9470894,255715000,BALDUR,Container Ship,Container,6
9471238,636020782,MSC SHAHAR,Container Ship,Container,4
9473195,351729000,MARMARA S,Bulk Carrier,Bulker,1
9473418,477614500,CLEANTEC,Bulk Carrier,Bulker,1
9473755,354706000,CORESHIP OL,Bulk Carrier,Bulker,3
9473767,373558000,TWINLUCK SW,Bulk Carrier,Bulker,1
9476721,538003831,GLOVIS COUNTESS,Vehicle Carrier,RoRo,2
9476757,319819000,RUBY ACE,Vehicle Carrier,RoRo,1
9477543,319027200,STOLT TSUBAKI,Tanker - Hazard C,Tanker,2
9477555,319028000,STOLT AJISAI,Tanker - Hazard B,Tanker,1
9477787,229753000,CMA CGM PERTH,Container Ship,Container,4
9484546,477639300,BERNHARD SCHULTE,Container Ship,Container,2
9484572,563052700,CAP JERVIS,Container Ship,Container,8
9487043,477851700,MAPLE BREEZE,Bulk Carrier,Bulker,1
9487093,477815500,JIN XING LING,Bulk Carrier,Bulker,2
9487108,477959300,JIN WANG LING,Bulk Carrier,Bulker,2
9487524,566002000,NYK FUTAGO,Container Ship,Container,6
9487952,566259000,NYK FURANO,Cargo - Hazard A,General Cargo,1
9487964,566335000,NYK FUSHIMI,Container Ship,Container,15
9489235,441746000,CH BELLA,Bulk Carrier,Bulker,1
9490703,636021418,PYTHIAS,Cargo,General Cargo,1
9491874,255670260,PASSAMA,Cargo,General Cargo,9
9493365,235086166,NOBLE ACE,Cargo,General Cargo,1
9496939,567104000,LANNA NAREE,Cargo,General Cargo,1
9497438,373735000,DIAS WELL,Bulk Carrier,Bulker,2
9502336,477118400,SAGA FREYA,General Cargo,General Cargo,1
9502726,567619000,SF CHALISA,Bulk Carrier,Bulker,1
9502790,538009328,SEAMELODY,Bulk Carrier,Bulker,1
9502829,356087000,PRETTY JACK,Cargo,General Cargo,1
9504607,538005308,AL RAWDAH,Container Ship,Container,1
9505027,266339000,CARMEN,Vehicle Carrier,RoRo,2
9505053,248225000,TITANIA,Vehicle Carrier,RoRo,3
9505065,248264000,TUGELA,Vehicle Carrier,RoRo,3
9505089,248265000,TULANE,Vehicle Carrier,RoRo,2
9507609,246621000,FORTUNAGRACHT,General Cargo,General Cargo,1
9509621,636018714,CHIPOL  TAIAN,General Cargo,General Cargo,3
9510371,636013805,LA CHARMAIS,Cargo,General Cargo,1
9511648,305561000,ONEGO OLZA,General Cargo,General Cargo,1
9512903,538009619,SUNNY SANDRA,General Cargo,General Cargo,9
9514030,538008552,LISTA,Ro-Ro Cargo,RoRo,1
9514341,271040311,YASA KAPTAN ERBIL,Bulk Carrier,Bulker,1
9514391,636020561,PROSPER PHOENIX,Bulk Carrier,Bulker,1
9515383,249904000,TONSBERG,Vehicle Carrier,RoRo,2
9515395,566085000,PARSIFAL,Cargo,General Cargo,1
9515400,249909000,TYSLA,Vehicle Carrier,RoRo,2
9515412,566086000,SALOME,Vehicle Carrier,RoRo,2
9515474,352002694,IRIS ACE,Vehicle Carrier,RoRo,1
9515527,636019935,AGIOI THEODOROI,Bulk Carrier,Bulker,1
9515644,370714000,POAVOSA WISDOM,Bulk Carrier,Bulker,2
9515682,248092000,DANSHIP BULKER,Bulk Carrier,Bulker,1
9515735,477982600,KOOMBANA BAY,Bulk Carrier,Bulker,3
9516777,636018846,ELA,Container Ship,Container,1
9519200,564896000,CS FELICITY,Bulk Carrier,Bulker,1
9519327,563115500,LIHIR CHIEF,Container Ship,Container,1
9520596,477886800,DISKO ISLAND,Bulk Carrier,Bulker,1
9520950,269038000,VINDONISSA,Bulk Carrier,Bulker,1
9524695,538004800,CARIBOO,Bulk Carrier,Bulker,1
9524774,257326000,TORVANGER,Tanker,Tanker,1
9525429,370594000,BRIO FAITH,General Cargo,General Cargo,2
9525948,563062700,ALS VENUS,Container Ship,Container,1
9526875,219526000,MAERSK LIMA,Container Ship,Container,3
9526978,477174800,MAERSK LABERINTO,Container Ship,Container,5
9527037,219540000,MAERSK LONDRINA,Container Ship,Container,1
9527063,477017600,MAERSK LABREA,Container Ship,Container,1
9527946,370024000,KEN VISTA,General Cargo,General Cargo,1
9528005,565694000,IVS SENTOSA,Bulk Carrier,Bulker,1
9530711,373052000,INDIGO MARCH,General Cargo,General Cargo,3
9530943,636015149,QUEST,Bulk Carrier,Bulker,1
9534482,305075000,O7 LAFITE,General Cargo,General Cargo,1
9536806,374180000,TAHAROA PROVIDENCE,Ore/Bulk Carrier,Bulker,2
9539212,636016096,ONYX ACE,Vehicle Carrier,RoRo,1
9539224,538004619,CRYSTAL ACE,Vehicle Carrier,RoRo,1
9539236,538004697,EMERALD ACE,Vehicle Carrier,RoRo,2
9540807,219310000,NORD HIMALAYA,Tanker,Tanker,1
9542295,636015370,POSITIVE CHALLENGER,Vehicle Carrier,RoRo,2
9542661,477096900,SHAKESPEARE BAY,Bulk Carrier,Bulker,1
9543249,538008282,SIGMA PIONEER,Bulk Carrier,Bulker,2
9544138,219029595,MILAU BULKER,Cargo,General Cargo,3
9544140,477732300,NEPTUNE ISLAND,General Cargo,General Cargo,4
9544384,538009308,SINCERE,Bulk Carrier,Bulker,1
9544918,431573000,CATTLEYA ACE,Vehicle Carrier,RoRo,1
9550292,357437000,MARITIME VICTORY,Bulk Carrier,Bulker,1
9551935,246659000,HAPPY DELTA,General Cargo,General Cargo,1
9554169,371323000,GLOBAL FAITH,Bulk Carrier,Bulker,2
9558270,563509000,KN FUTURE,Bulk Carrier,Bulker,1
9561265,352980796,ELEGANT ACE,Vehicle Carrier,RoRo,1
9561277,319409000,GLORIOUS ACE,Vehicle Carrier,RoRo,3
9561289,355139000,MERMAID ACE,Vehicle Carrier,RoRo,1
9566203,356360000,GOLDEN CHIE,Tanker,Tanker,2
9567477,413442980,ZHE HAI 505,Bulk Carrier,Bulker,2
9567491,477222800,ZHE HAI 2,Bulk Carrier,Bulker,4
9570852,636092980,CHARLOTTE OLDENDORFF,Bulk Carrier,Bulker,1
9571399,305756000,BBC DANUBE,Bulk Carrier,Bulker,1
9571492,246766000,MAASGRACHT,General Cargo,General Cargo,5
9571519,246768000,MERWEDEGRACHT,General Cargo,General Cargo,3
9571545,246771000,MUNTGRACHT,General Cargo,General Cargo,3
9572575,352565000,GOLDEN UNITY,Tanker - Hazard D,Tanker,1
9573828,636020948,DELLA,Bulk Carrier,Bulker,1
9573907,355857000,NORD YILAN,Bulk Carrier,Bulker,1
9574080,371706000,MORNING CRYSTAL,Vehicle Carrier,RoRo,4
9574377,355760000,DRACO FAITH,General Cargo,General Cargo,1
9579391,636022365,GLOBAL WINNER,Bulk Carrier,Bulker,1
9580003,372014000,SPINNAKER SW,Bulk Carrier,Bulker,2
9580039,477195600,MOUNT HIKURANGI,Bulk Carrier,Bulker,1
9580314,353200000,POAVOSA WISDOM III,Bulk Carrier,Bulker,1
9580326,477961200,ESPERANCE BAY,Bulk Carrier,Bulker,5
9583847,477514500,YANGTZE AMBITION,Bulk Carrier,Bulker,1
9584059,311045300,NEPTUNE ACE,Vehicle Carrier,RoRo,1
9584188,477899100,YANGTZE ETERNAL,Bulk Carrier,Bulker,1
9584205,477739600,YANGTZE CLASSIC,Bulk Carrier,Bulker,3
9584217,477340200,YANGTZE DIGNITY,Bulk Carrier,Bulker,3
9584229,477700900,YANGTZE FLOURISH,Bulk Carrier,Bulker,1
9584231,477813300,YANGTZE GRACE,Cargo,General Cargo,1
9584243,477211700,YANGTZE HAPPINESS,Bulk Carrier,Bulker,1
9587178,477266700,MAPLE FORTITUDE,Bulk Carrier,Bulker,1
9589724,371061000,POAVOSA WISDOM VI,Bulk Carrier,Bulker,1
9591052,370644000,MERCURY ACE,Vehicle Carrier,RoRo,2
9593294,566262000,ANNE,Bulk Carrier,Bulker,1
9593672,566307000,KOTA BAHAGIA,General Cargo,General Cargo,1
9596179,538007639,ST GREG,Cargo,General Cargo,1
9597410,370922000,CORETALENT OL,Bulk Carrier,Bulker,5
9597434,357417000,WONDERFUL SW,Bulk Carrier,Bulker,3
9597678,353006000,CORELEADER OL,General Cargo,General Cargo,1
9604732,538008745,IVS MAGPIE,Bulk Carrier,Bulker,2
9604744,566421000,M.V IVS IBIS,Bulk Carrier,Bulker,2
9604914,636015657,GRACIOUS ACE,Vehicle Carrier,RoRo,2
9605322,432855000,TAHAROA DESTINY,Ore/Bulk Carrier,Bulker,1
9605798,257268000,TOSCA,Vehicle Carrier,RoRo,1
9606027,564761000,SOUTHERN CROSS,Bulk Carrier,Bulker,5
9606479,431934000,ETERNAL ACE,Vehicle Carrier,RoRo,1
9606534,477978700,CLEARWATER BAY,Cargo,General Cargo,1
9606546,566507000,UNI CHALLENGE,Bulk Carrier,Bulker,1
9607459,255805360,NORDIC WECO,Bulk Carrier,Bulker,1
9607825,563214500,DA AN,General Cargo,General Cargo,1
9608312,636022314,DA KANG,General Cargo,General Cargo,2
9608398,563210400,DA CHANG,General Cargo,General Cargo,2
9608403,413478240,DA DE,General Cargo,General Cargo,2
9608427,413478230,DA XIN,General Cargo,General Cargo,1
9608439,413479110,DA ZHI,General Cargo,General Cargo,3
9608702,229266000,OLIVIA,Bulk Carrier,Bulker,2
9609330,577175000,GLOBAL STRIKER,Bulk Carrier,Bulker,1
9609354,352821000,COOL HERO,Bulk Carrier,Bulker,1
9610406,431605000,VICTORIOUS ACE,Vehicle Carrier,RoRo,1
9610676,477427600,JAMES BAY,Bulk Carrier,Bulker,1
9610688,477652700,JERVIS BAY,Bulk Carrier,Bulker,2
9610729,477243200,ZHOUSHAN ISLAND,Bulk Carrier,Bulker,1
9611333,538008184,SILVER LADY,Bulk Carrier,Bulker,1
9612313,311000886,FEDERICA,Bulk Carrier,Bulker,1
9614476,566866000,SAMOA CHIEF,Container Ship,Container,10
9614488,566908000,PORT VILA CHIEF,Container Ship,Container,8
9614490,563091000,TONGA CHIEF,Container Ship,Container,3
9614505,563324000,KIRIBATI CHIEF,Container Ship,Container,13
9614517,563709000,MAJURO CHIEF,Container Ship,Container,7
9614529,563991000,APIA CHIEF,Container Ship,Container,7
9614531,564135000,NOUMEA CHIEF,Container Ship,Container,8
9614543,564407000,VANUATU CHIEF,Cargo - Hazard D,General Cargo,3
9615145,538004706,POS OCEANIA,Bulk Carrier,Bulker,5
9615999,567463000,TASCO AMARIT,Tanker,Tanker,2
9618018,311001217,AFRICAN SWIFT,Bulk Carrier,Bulker,2
9619402,255805573,JOGELA,Container Ship,Container,1
9619531,538006946,YASA HAWK,Tanker,Tanker,1
9620126,566743000,IVS MERLION,Bulk Carrier,Bulker,2
9620695,373057000,LEO SPIRIT,Vehicle Carrier,RoRo,2
9621170,373108000,DL MARIGOLD,Bulk Carrier,Bulker,1
9621182,373432000,DL TULIP,Bulk Carrier,Bulker,3
9621194,566945000,GALLOWAY EXPRESS,Other Type of Ship,Other,2
9621211,564165000,GELBRAY EXPRESS,Livestock Carrier,General Cargo,1
9624043,636016795,ARVIKA,Bulk Carrier,Bulker,1
9624184,477334100,EASTERN CAPE,Bulk Carrier,Bulker,3
9624328,373843000,EVER GALLANT,Cargo,General Cargo,2
9625918,210663000,SAN GIORGIO,Container Ship,Container,2
9628348,563265000,KOTA LESTARI,Container Ship,Container,4
9629665,373797000,DL JASMINE,Bulk Carrier,Bulker,2
9629677,353191000,DL LILAC,Vehicle Carrier,RoRo,1
9629952,538004533,SEA SPIKE,Tanker,Tanker,1
9631101,636015667,CALI,Container Ship,Container,12
9632480,563101600,MAERSK RUBICON,Container Ship,Container,5
9633276,356192000,POAVOSA WISDOM VII,Bulk Carrier,Bulker,1
9633290,538009756,IRIE IRIS,Bulk Carrier,Bulker,2
9635688,636021013,SFL MAUI,Container Ship,Container,5
9635834,563877000,HAFNIA CHEETAH,Tanker,Tanker,1
9637117,636015875,DORIC PIONEER,Tanker,Tanker,1
9638408,563068300,SCHUYLER TRADER,Bulk Carrier,Bulker,6
9638410,477441500,JERSEY SPIRIT,Bulk Carrier,Bulker,3
9638836,566715000,CRIMSON KNIGHT,Bulk Carrier,Bulker,1
9640401,572911210,ARAWANA,Bulk Carrier,Bulker,3
9640750,564547000,GIROLANDO EXPRESS,Livestock Carrier,General Cargo,1
9641780,477732100,IONA ISLAND,Bulk Carrier,Bulker,1
9641833,352044000,WISDOM ACE,Vehicle Carrier,RoRo,2
9643958,371410000,ULTRA HANDY,Bulk Carrier,Bulker,1
9644043,370413000,GLOBAL ARC,Bulk Carrier,Bulker,1
9644990,636015659,MATE,Container Ship,Container,7
9646895,311001204,AFRICAN NIGHTHAWK,Bulk Carrier,Bulker,1
9646900,311001213,AFRICAN CONDOR,Bulk Carrier,Bulker,1
9650987,636021254,PAGODA,Bulk Carrier,Bulker,1
9654581,538005088,ARDMORE EXPLORER,Tanker,Tanker,1
9655846,477464100,CHINA SPIRIT,Bulk Carrier,Bulker,1
9658800,636021550,MAJESTY STAR,Bulk Carrier,Bulker,1
9660126,477222400,ATLANTIC SPIRIT,Bulk Carrier,Bulker,1
9660592,352787000,FLORA CENTURY,Bulk Carrier,Bulker,1
9662370,538004740,MAPLE STAR,Bulk Carrier,Bulker,1
9663271,477231500,INCE POINT,Bulk Carrier,Bulker,1
9663283,477694600,ISLAND BAY,Bulk Carrier,Bulker,2
9664263,636020876,CONTSHIP YEN,Container Ship,Container,1
9667722,370392000,CHISE BULKER,Bulk Carrier,Bulker,1
9667942,538005761,ARDMORE ENDEAVOUR,Tanker - Hazard A,Tanker,1
9668312,353233000,PACIFIC CALM,Bulk Carrier,Bulker,1
9668362,356836000,POAVOSA ACE,Bulk Carrier,Bulker,5
9668922,477121800,PELICAN ISLAND,Bulk Carrier,Bulker,1
9669615,538010749,MELBOURNE SPIRIT,Bulk Carrier,Bulker,1
9669627,538010750,TOKYO SPIRIT,Bulk Carrier,Bulker,1
9669940,538005269,STI OPERA,Tanker,Tanker,1
9671450,244790606,ATLANTIC DAWN,Container Ship,Container,1
9672105,247341500,GRANDE COTONOU,Ro-Ro Cargo,RoRo,1
9672208,371487000,AMIRA SOPHIE II,Bulk Carrier,Bulker,2
9672222,371133000,DAIWAN CHAMPION,Bulk Carrier,Bulker,7
9673678,538007300,FAIRCHEM SWORD,Tanker,Tanker,2
9674658,563160000,MMA LEEUWIN,Offshore Tug/Supply Ship,Other,1
9675561,357400000,GLOBE EXPLORER,Bulk Carrier,Bulker,1
9675585,357076000,MORNING CHERRY,Vehicle Carrier,RoRo,2
9675779,564118000,SANTA MARIA,Bulk Carrier,Bulker,1
9675808,636020796,CONTSHIP REX,Container Ship,Container,2
9675810,636020961,SCION MAFALDA,Container Ship,Container,4
9676709,565376000,MATHILDE SCHULTE,Container Ship,Container,8
9680724,247341900,GRANDE DAKAR,Ro-Ro Cargo,RoRo,1
9681883,311001319,AFRICAN LAPWING,Bulk Carrier,Bulker,1
9681895,565324000,ERISORT,Cargo,General Cargo,1
9682760,311000206,AFRICAN LARK,Bulk Carrier,Bulker,1
9682772,311000205,AFRICAN DOVE,Bulk Carrier,Bulker,1
9684976,257864000,HOEGH TARGET,Vehicle Carrier,RoRo,3
9684988,258389000,HOEGH TRIGGER,Vehicle Carrier,RoRo,1
9684990,258628000,HOEGH TRACER,Vehicle Carrier,RoRo,1
9685097,304617000,BBC LOUISE,General Cargo,General Cargo,1
9685774,232049845,CELANDINE,Container Ship,Container,1
9686716,538005173,STI DAMA,Tanker,Tanker,1
9687667,372417000,ARAGO,Tanker,Tanker,2
9690092,636092708,SEATRADE ORANGE,Container Ship,Container,10
9690107,636092711,SEATRADE RED,Container Ship,Container,10
9690884,565831000,FENGNING,Bulk Carrier,Bulker,1
9690901,563217000,FOOCHOW,Bulk Carrier,Bulker,2
9690913,564260000,FUNING,Bulk Carrier,Bulker,1
9691644,538005754,UNION TAYLOR,General Cargo,General Cargo,1
9692351,538006490,SILVER EBALINA,Tanker,Tanker,1
9692375,538006666,SILVER VENUS,Tanker,Tanker,1
9692739,352597000,MAGPIE SW,Bulk Carrier,Bulker,1
