imo,mmsi,vessel_name,vessel_type_raw,nbic_type_group,n_voyages
9890915,374731000,PAN OPTIMUM,Bulk Carrier,Bulker,4
9891438,232027082,ENERGY APOLLO,Tanker,Tanker,3
9892535,255806358,UHL FELICITY,General Cargo,General Cargo,1
9894478,356250000,ARIES KARIN,Bulk Carrier,Bulker,2
9894741,373807000,KEN HARU,Bulk Carrier,Bulker,2
9894818,538009407,BERGE NAMULI,Bulk Carrier,Bulker,1
9897937,370101000,BELLE LUNE,Bulk Carrier,Bulker,5
9897949,370020000,BELLE STELLA,Bulk Carrier,Bulker,3
9897951,352978260,BELLE MER,Bulk Carrier,Bulker,3
9897963,352001205,LIGNUM FIBER,Bulk Carrier,Bulker,1
9898747,355793000,STANLEY BAY,Tugboat,Other,3
9898993,352898762,COSMO GLORIA,Bulk Carrier,Bulker,6
9902081,373309000,NORD MELBOURNE,Bulk Carrier,Bulker,1
9902108,352978200,GT HERA,Cargo,General Cargo,1
9902392,636020750,PACIFIC PIONEER,Bulk Carrier,Bulker,6
9903205,414496000,TANG HONG,Vehicle Carrier,RoRo,1
9903774,477717900,FOREVER CORDIALITY,Tanker,Tanker,1
9906685,357011000,GRAND WINNER 1,Tanker,Tanker,1
9906697,372298000,GRAND WINNER 2,Tanker,Tanker,1
9906714,352978141,GRAND WINNER 5,Tanker,Tanker,1
9906726,563194200,NORFOLK,Heavy Load Carrier,General Cargo,2
9908346,538009338,FAIRCHEM PROTEA,Tanker - Hazard B,Tanker,1
9909077,477714700,DARYA HEERA,Cargo,General Cargo,1
9909584,352980843,CAPILANO SUN,Tanker - Hazard B,Tanker,1
9909675,373226000,NORSE HOUSTON,Bulk Carrier,Bulker,1
9910167,371580000,KAKARIKI,Reefer,Reefer,13
9911501,563145200,SEYMOUR SUN,Tanker,Tanker,1
9911513,563154800,GROUSE SUN,Tanker,Tanker,1
9911551,352002171,CYPRESS SUN,Tanker,Tanker,1
9913107,538009626,CENTURION LUCILLA,Bulk Carrier,Bulker,3
9913224,477811300,PACIFIC TITAN,General Cargo,General Cargo,1
9919242,538009915,TS NAGOYA,Container Ship,Container,2
9919254,538010060,TS XIAMEN,Container Ship,Container,2
9919515,538010308,HAPPINESS BULKER,Bulk Carrier,Bulker,2
9919541,352001160,NORD VANCOUVER,Bulk Carrier,Bulker,1
9920291,538009705,FAIRCHEM RESTIO,Tanker - Hazard B,Tanker,1
9922029,636021548,SALVIA ISLAND,Bulk Carrier,Bulker,1
9926996,563143800,NORSE CAMDEN,Bulk Carrier,Bulker,1
9927005,563153100,NORSE SAVANNAH,Bulk Carrier,Bulker,2
9928621,538010110,TS TIANJIN,Container Ship,Container,2
9929297,636020790,MSXT ECHO,Bulk Carrier,Bulker,1
9929302,636020791,MSXT EMILY,Bulk Carrier,Bulker,1
9930832,352002083,GOLDEN AXIS,Tanker - Hazard B,Tanker,1
9930909,477735800,TAI XING,General Cargo,General Cargo,2
9932426,538009861,DARYA GOMTI,Bulk Carrier,Bulker,1
9932438,538009941,DARYA RAPTI,Bulk Carrier,Bulker,2
9932969,431821000,GT SELENE,Wood-Chip Carrier,Bulker,2
9934216,352001316,MAINE SOLEIL,Bulk Carrier,Bulker,1
9942029,352001690,AFRICAN TIGER,Bulk Carrier,Bulker,2
9942330,636021541,WECO MALOU,Tanker,Tanker,2
9943566,352002064,NORSE ALTAMIRA,Bulk Carrier,Bulker,2
9946233,636021476,H CYGNUS,Container Ship,Container,2
9947768,636093091,BBC URANUS,General Cargo,General Cargo,1
9947770,636093092,BBC MARS,General Cargo,General Cargo,2
9950129,219032229,CAPE SPENCER,Container Ship,Container,3
9950143,219032915,CAPE SERRAT,Container Ship,Container,1
9951800,352001882,HANDY INCLUSIVITY,Bulk Carrier,Bulker,2
9955791,636023313,MSC NURYA G,Container Ship,Container,1
9959319,636023057,BUNUN YOUTH,Bulk Carrier,Bulker,1
9961271,352001683,ANL TASMAN TRADER,Container Ship,Container,1
9961544,352004255,ANL KIWI TRADER,Container Ship,Container,1
9965021,563196700,VAN HANNAH,Bulk Carrier,Bulker,1
9969857,219032707,CAPE SKAGEN,Container Ship,Container,4
9972024,352003758,KITAKAMI RIVER,Bulk Carrier,Bulker,1
9972488,636093230,BBC APOLLO,Bulk Carrier,Bulker,1
9972490,636093231,BBC CERES,Bulk Carrier,Bulker,1
9973054,352004908,LIGNUM WEB,Bulk Carrier,Bulker,3
9973066,352003196,LIGNUM MESH,Bulk Carrier,Bulker,2
9973078,563219400,LIGNUM NEXUS,Bulk Carrier,Bulker,1
9973080,563224200,LIGNUM LINK,Bulk Carrier,Bulker,1
9977983,352002848,GAS ACE,Tanker,Tanker,1
9977995,352003022,GAS BLOSSOM,Tanker,Tanker,1
9978640,636023721,PRIDE C,Container Ship,Container,1
9979058,636023366,BUNUN ZEST,Bulk Carrier,Bulker,2
9979278,352003575,MAERSK FORTALEZA,Container Ship,Container,2
9984417,538010961,SIDER IMABARI,Bulk Carrier,Bulker,2
891213200,311289000,GREEN HONDURAS,Cargo - Fish carrier,General Cargo,1
918423700,304887000,IMUA,General Cargo,General Cargo,31
929386800,477832100,PORT ALFRED,Bulk Carrier,Bulker,3
