imo,mmsi,vessel_name,vessel_type_raw,nbic_type_group,n_voyages,DWT,Gross_Tonnage,Ship_Type,Flag,Status
9610729,477243200,ZHOUSHAN ISLAND,Bulk Carrier,Bulker,1,58044,32356,Bulk Carrier,,ok
9611333,538008184,SILVER LADY,Bulk Carrier,Bulker,1,24377,16835,Bulk Carrier,,ok
9612313,311000886,FEDERICA,Bulk Carrier,Bulker,1,36612,22746,Bulk Carrier,,ok
9614476,566866000,SAMOA CHIEF,Container Ship,Container,10,30700,25483,Container Ship,,ok
9614488,566908000,PORT VILA CHIEF,Container Ship,Container,8,30814,25483,Container Ship,,ok
9614490,563091000,TONGA CHIEF,Container Ship,Container,3,30814,25483,Container Ship,,ok
9614505,563324000,KIRIBATI CHIEF,Container Ship,Container,13,30813,25483,Container Ship,,ok
9614517,563709000,MAJURO CHIEF,Container Ship,Container,7,30852,25483,Container Ship,,ok
9614529,563991000,APIA CHIEF,Container Ship,Container,7,31756,25483,Container Ship,,ok
9614531,564135000,NOUMEA CHIEF,Container Ship,Container,8,30721,25483,Container Ship,,ok
9614543,564407000,VANUATU CHIEF,Cargo - Hazard D,General Cargo,3,31288,25483,Container Ship,,ok
9615145,538004706,POS OCEANIA,Bulk Carrier,Bulker,5,28190,17019,Bulk Carrier,,ok
9615999,567463000,TASCO AMARIT,Tanker,Tanker,2,7532,6106,Asphalt/Bitumen Tanker,,ok
9618018,311001217,AFRICAN SWIFT,Bulk Carrier,Bulker,2,40481,24725,Bulk Carrier,,ok
9619402,255805573,JOGELA,Container Ship,Container,1,62134,48338,Container Ship,,ok
9619531,538006946,YASA HAWK,Tanker,Tanker,1,49990,29593,Chemical/Oil Products Tanker,,ok
9620126,566743000,IVS MERLION,Bulk Carrier,Bulker,2,32071,20928,Bulk Carrier,,ok
9620695,373057000,LEO SPIRIT,Vehicle Carrier,RoRo,2,16758,61020,Vehicles Carrier,,ok
9621170,373108000,DL MARIGOLD,Bulk Carrier,Bulker,1,36006,23494,Bulk Carrier,,ok
9621182,373432000,DL TULIP,Bulk Carrier,Bulker,3,35947,23494,Bulk Carrier,,ok
9621194,566945000,GALLOWAY EXPRESS,Other Type of Ship,Other,2,5488,10421,Livestock Carrier,,ok
9621211,564165000,GELBRAY EXPRESS,Livestock Carrier,General Cargo,1,5488,10421,Livestock Carrier,,ok
9624043,636016795,ARVIKA,Bulk Carrier,Bulker,1,55848,31538,Bulk Carrier,,ok
9624184,477334100,EASTERN CAPE,Bulk Carrier,Bulker,3,28195,17019,Bulk Carrier,,ok
9624328,373843000,EVER GALLANT,Cargo,General Cargo,2,28206,17027,Bulk Carrier,,ok
9625918,210663000,SAN GIORGIO,Container Ship,Container,2,24157,20239,Container Ship,,ok
9628348,563265000,KOTA LESTARI,Container Ship,Container,4,51822,42020,Container Ship,,ok
9629665,373797000,DL JASMINE,Bulk Carrier,Bulker,2,35991,23494,Bulk Carrier,,ok
9629677,353191000,DL LILAC,Vehicle Carrier,RoRo,1,36005,23494,Bulk Carrier,,ok
9629952,538004533,SEA SPIKE,Tanker,Tanker,1,49916,29785,Chemical/Oil Products Tanker,,ok
9631101,636015667,CALI,Container Ship,Container,12,51731,41300,Container Ship,,ok
9632480,563101600,MAERSK RUBICON,Container Ship,Container,5,66347,51032,Container Ship,,ok
9633276,356192000,POAVOSA WISDOM VII,Bulk Carrier,Bulker,1,28208,17027,Bulk Carrier,,ok
9633290,538009756,IRIE IRIS,Bulk Carrier,Bulker,2,28250,17019,Bulk Carrier,,ok
9635688,636021013,SFL MAUI,Container Ship,Container,5,80115,71112,Container Ship,,ok
9635834,563877000,HAFNIA CHEETAH,Tanker,Tanker,1,49999,29737,Chemical/Oil Products Tanker,,ok
9637117,636015875,DORIC PIONEER,Tanker,Tanker,1,51565,29622,Chemical/Oil Products Tanker,,ok
9638408,563068300,SCHUYLER TRADER,Bulk Carrier,Bulker,6,35439,23405,Bulk Carrier,,ok
9638410,477441500,JERSEY SPIRIT,Bulk Carrier,Bulker,3,35391,23405,Bulk Carrier,,ok
9638836,566715000,CRIMSON KNIGHT,Bulk Carrier,Bulker,1,58651,33193,Bulk Carrier,,ok
9640401,572911210,ARAWANA,Bulk Carrier,Bulker,3,32318,20954,Bulk Carrier,,ok
