voyage_id,vessel_type,cluster,dwt,n_ports,nz_dest_port,total_span_days,p_invasion,pa_mean,pi_mean,pe_mean
2386,Container,1,53139,7,TAURANGA,35.30082176,0.0003026925,1.0,0.43066272,0.00011658833333333335
2388,Container,1,53139,7,TAURANGA,38.27603009,0.000285138,1.0,0.4053203183333333,0.00011658833333333335
2390,Container,1,53139,7,TAURANGA,38.97306713,0.0002742338,1.0,0.39481273499999997,0.00011537666666666668
2392,Container,1,53139,7,TAURANGA,35.81616898,0.0003032582,1.0,0.4315561233333333,0.00011658833333333335
2394,Container,1,53139,7,TAURANGA,33.40604167,0.0003101039,1.0,0.4465758633333334,0.00011537666666666668
2401,Container,1,53139,7,TAURANGA,36.25975694,0.0003041871,1.0,0.43194541833333333,0.00011658833333333335
2403,Container,1,53139,7,TAURANGA,38.23380787,0.0002937787,1.0,0.42273912166666666,0.00011537666666666668
2407,Container,1,53142,6,TAURANGA,37.83710648,0.0002333091,1.0,0.40211842799999997,0.000115488
2409,Container,1,53142,5,TAURANGA,35.32333333,0.000186933,1.0,0.40874557,0.00011398
2411,Container,1,53142,7,TAURANGA,36.22802083,0.0002912859,1.0,0.41431483500000005,0.00011658833333333335
2414,Container,1,53142,6,TAURANGA,34.95501157,0.0002385063,1.0,0.41137374800000004,0.000115488
2416,Container,1,53142,7,TAURANGA,37.19607639,0.0002727335,1.0,0.39235615333333335,0.00011537666666666664
2418,Container,1,53142,7,TAURANGA,33.8906713,0.0003045216,1.0,0.4335117133333333,0.00011658833333333335
2421,General Cargo,3,33738,7,NELSON,30.88451389,0.000458214,0.9999138333333333,0.6180574566666667,0.00012728999999999998
2423,Container,1,43123,7,TAURANGA,39.06543981,0.0002657509,1.0,0.37771224,0.00011658833333333335
2425,Container,1,43123,7,TAURANGA,37.1949537,0.0002635488,1.0,0.3792971383333334,0.00011537666666666668
2431,Container,1,43123,7,TAURANGA,35.05047454,0.0002869793,1.0,0.4080470983333333,0.00011658833333333335
2437,General Cargo,3,7709,7,NEW PLYMOUTH,47.48861111,0.000264538,0.9999889999999999,0.35237253,0.000117085
2449,Container,1,43206,7,TAURANGA,37.18165509,0.0002661962,1.0,0.38289439833333333,0.00011537666666666668
2451,Container,1,43206,7,TAURANGA,36.40021991,0.0002757533,1.0,0.3955413833333334,0.00011547166666666666
2452,Container,4,43206,7,AUCKLAND,39.98759259,0.0003223252,0.9999941666666666,0.42987150333333335,0.00012438333333333334
2455,Container,1,43177,7,TAURANGA,37.93636574,0.000266213,1.0,0.3782112233333333,0.00011658833333333335
2457,Container,1,43177,7,TAURANGA,39.45739583,0.000256768,1.0,0.36491744833333334,0.00011658833333333335
2459,Container,1,43177,6,TAURANGA,33.45012731,0.0002226178,1.0,0.38400760600000006,0.000115488
2461,Container,1,43177,6,TAURANGA,37.58417824,0.0002166795,1.0,0.373267308,0.000115488
2463,Container,1,43177,7,TAURANGA,37.78239583,0.0002615703,1.0,0.37178312333333335,0.00011658833333333335
2465,Container,1,43177,7,TAURANGA,37.52234954,0.0002685983,1.0,0.3817068266666666,0.00011658833333333335
2467,Container,1,43177,7,TAURANGA,37.78131944,0.0002641405,1.0,0.37540771999999994,0.00011658833333333335
2469,Container,1,43177,7,TAURANGA,37.39539352,0.0002626284,1.0,0.37800873166666665,0.00011537666666666668
2472,Container,0,43114,5,PORT CHALMERS,30.80244213,0.0002079919,0.9999549999999999,0.47615398750000004,0.00010488499999999998
2475,Container,0,13809,6,TAURANGA,49.02306713,0.0001225141,0.9998964000000001,0.20768947799999998,0.00011639599999999999
2524,General Cargo,0,18760,7,AUCKLAND,38.3834375,0.000422189,0.9999793333333334,0.5285404733333333,0.00013146166666666665
2530,Tanker,4,50591,6,TAURANGA,54.86994213,0.0001903543,0.9999929999999999,0.35371076599999995,0.00011879200000000001
2532,General Cargo,0,52788,6,AUCKLAND,25.18881944,0.0004341395,0.9999929999999999,0.689979656,0.000126014
2539,Container,0,42614,5,AUCKLAND,36.31662037,0.000211555,0.9999825,0.4317550775,0.00012217
2547,Container,0,34194,7,AUCKLAND,36.37827546,0.0002414479,1.0,0.35285168000000006,0.00011207666666666667
2550,Bulker,4,58761,5,NELSON,50.83453704,0.0002336938,0.9999830000000001,0.5508204725,9.681999999999998e-05
2553,Bulker,4,58717,6,NELSON,54.22861111,0.000222079,0.9999971999999999,0.44514721599999996,0.000101096
2554,Bulker,4,58717,7,WELLINGTON,53.72762731,0.0002277482,0.999999,0.40918028999999995,8.861499999999999e-05
2558,RoRo,0,14996,7,AUCKLAND,22.15103009,0.0003744001,0.9999768333333333,0.4896054016666667,0.00012929333333333334
2559,RoRo,0,14996,7,AUCKLAND,21.01559028,0.0003798077,0.9999768333333333,0.49649873666666666,0.00012929333333333334
2564,General Cargo,3,12502,7,TAURANGA,24.1781713,0.0003157248,0.9999981666666667,0.4675416399999999,0.00011014666666666667
2565,General Cargo,3,12502,7,TAURANGA,33.68996528,0.0003044705,0.9999136666666667,0.44272361666666665,0.00011022666666666665
2566,General Cargo,3,12502,5,TAURANGA,13.97369213,0.0002383162,1.0,0.5790021725,0.00010291
2567,Container,0,12502,6,AUCKLAND,27.72703704,0.0001440057,1.0,0.2687483439999999,0.000106978
2568,Container,3,12502,7,TAURANGA,22.86087963,0.0001729428,0.9999981666666667,0.2623913233333333,0.00010804333333333333
2569,Container,3,12502,7,TAURANGA,33.66780093,0.000153878,0.9999981666666667,0.23132053666666672,0.00010804333333333333
2570,Container,3,12502,7,TAURANGA,21.53842593,0.0001634605,1.0,0.2607097116666666,0.00010501333333333333
2571,Container,3,12502,7,AUCKLAND,21.98252315,0.0001726997,0.9999988333333333,0.2681730216666667,0.00010719666666666665
2572,Container,3,12502,7,TAURANGA,16.20512731,0.0001860397,0.999996,0.2822514683333333,0.00010938
2573,Container,3,12502,7,TAURANGA,17.90519676,0.0001817911,0.999996,0.2798142633333333,0.00010727666666666665
2574,Container,3,12502,7,TAURANGA,18.5575,0.0001815075,0.999996,0.27938550166666665,0.00010727666666666665
2575,Container,3,12502,7,TAURANGA,18.57586806,0.0001712968,0.999996,0.26404426500000006,0.00010727666666666665
2576,Container,3,12502,7,TAURANGA,19.50434028,0.0001807667,0.999996,0.27820485833333336,0.00010727666666666665
